,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime,round
749,2011,Italian Grand Prix,massa,ferrari,19,6,6,6,8.0,53,+42.993,4889165,53,239.919,Finished,1:26.924,13
750,2011,Italian Grand Prix,alguersuari,toro_rosso,,18,7,7,6.0,52,,,49,236.028,+1 Lap,1:28.357,13
751,2011,Italian Grand Prix,resta,force_india,,11,8,8,4.0,52,,,52,236.841,+1 Lap,1:28.054,13
752,2011,Italian Grand Prix,bruno_senna,renault,,10,9,9,2.0,52,,,51,240.000,+1 Lap,1:26.895,13
753,2011,Italian Grand Prix,buemi,toro_rosso,,16,10,10,1.0,52,,,51,236.443,+1 Lap,1:28.202,13
754,2011,Italian Grand Prix,maldonado,williams,13,14,11,11,0.0,52,,,51,234.497,+1 Lap,1:28.934,13
755,2011,Italian Grand Prix,barrichello,williams,,13,12,12,0.0,52,,,49,235.975,+1 Lap,1:28.377,13
756,2011,Italian Grand Prix,kovalainen,lotus_racing,,20,13,13,0.0,51,,,50,232.653,+2 Laps,1:29.639,13
757,2011,Italian Grand Prix,trulli,lotus_racing,,19,14,14,0.0,51,,,50,232.171,+2 Laps,1:29.825,13
758,2011,Italian Grand Prix,glock,virgin,,21,15,15,0.0,51,,,51,229.721,+2 Laps,1:30.783,13
759,2011,Italian Grand Prix,ricciardo,hrt,3,23,16,N,0.0,39,,,36,226.650,+14 Laps,1:32.013,13
760,2011,Italian Grand Prix,perez,sauber,11,15,17,R,0.0,32,,,29,233.267,Gearbox,1:29.403,13
761,2011,Italian Grand Prix,kobayashi,sauber,10,17,18,R,0.0,21,,,21,231.720,Gearbox,1:30.000,13
762,2011,Italian Grand Prix,sutil,force_india,99,12,19,R,0.0,9,,,8,228.033,Hydraulics,1:31.455,13
763,2011,Italian Grand Prix,webber,red_bull,,5,20,R,0.0,4,,,4,229.188,Accident,1:30.994,13
764,2011,Italian Grand Prix,ambrosio,virgin,,22,21,R,0.0,1,,,,,Gearbox,,13
765,2011,Italian Grand Prix,petrov,renault,,7,22,R,0.0,0,,,,,Collision,,13
766,2011,Italian Grand Prix,rosberg,mercedes,6,9,23,R,0.0,0,,,,,Collision,,13
767,2011,Italian Grand Prix,liuzzi,hrt,,24,24,R,0.0,0,,,,,Collision,,13
768,2011,Singapore Grand Prix,vettel,red_bull,5,1,1,1,25.0,61,1:59:04.757,7146757,51,168.029,Finished,1:48.688,14
769,2011,Singapore Grand Prix,button,mclaren,22,3,2,2,18.0,61,+1.737,7148494,54,168.392,Finished,1:48.454,14
