year,round,raceId,constructorId,statusId,points
2021,8,Styrian Grand Prix,alfa,+1 Lap,0.0
2021,8,Styrian Grand Prix,alphatauri,+1 Lap,1.0
2021,8,Styrian Grand Prix,alphatauri,Collision,0.0
2021,8,Styrian Grand Prix,alpine,+1 Lap,2.0
2021,8,Styrian Grand Prix,aston_martin,+1 Lap,4.0
2021,8,Styrian Grand Prix,ferrari,+1 Lap,14.0
2021,8,Styrian Grand Prix,haas,+2 Laps,0.0
2021,8,Styrian Grand Prix,haas,+3 Laps,0.0
2021,8,Styrian Grand Prix,mclaren,+1 Lap,10.0
2021,8,Styrian Grand Prix,mercedes,Finished,34.0
2021,8,Styrian Grand Prix,red_bull,Finished,37.0
2021,8,Styrian Grand Prix,williams,+3 Laps,0.0
2021,8,Styrian Grand Prix,williams,Engine,0.0
2021,9,Austrian Grand Prix,alfa,+1 Lap,0.0
2021,9,Austrian Grand Prix,alphatauri,+1 Lap,0.0
2021,9,Austrian Grand Prix,alphatauri,Finished,2.0
2021,9,Austrian Grand Prix,alpine,+1 Lap,1.0
2021,9,Austrian Grand Prix,alpine,Collision,0.0
2021,9,Austrian Grand Prix,aston_martin,+1 Lap,0.0
2021,9,Austrian Grand Prix,aston_martin,Collision,0.0
2021,9,Austrian Grand Prix,ferrari,Finished,14.0
2021,9,Austrian Grand Prix,haas,+2 Laps,0.0
2021,9,Austrian Grand Prix,mclaren,Finished,21.0
2021,9,Austrian Grand Prix,mercedes,Finished,30.0
2021,9,Austrian Grand Prix,red_bull,Finished,34.0
2021,9,Austrian Grand Prix,williams,+1 Lap,0.0
2021,10,British Grand Prix,alfa,+1 Lap,0.0
2021,10,British Grand Prix,alphatauri,Finished,1.0
2021,10,British Grand Prix,alpine,Finished,8.0
2021,10,British Grand Prix,aston_martin,Finished,4.0
2021,10,British Grand Prix,aston_martin,Retired,0.0
2021,10,British Grand Prix,ferrari,Finished,26.0
2021,10,British Grand Prix,haas,+1 Lap,0.0
2021,10,British Grand Prix,mclaren,Finished,22.0
2021,10,British Grand Prix,mercedes,Finished,40.0
2021,10,British Grand Prix,red_bull,+1 Lap,0.0
2021,10,British Grand Prix,red_bull,Collision,0.0
2021,10,British Grand Prix,williams,+1 Lap,0.0
2021,11,Hungarian Grand Prix,alfa,+1 Lap,1.0
2021,11,Hungarian Grand Prix,alphatauri,Finished,19.0
2021,11,Hungarian Grand Prix,alpine,Finished,37.0
2021,11,Hungarian Grand Prix,aston_martin,Collision,0.0
